#SampleID	Dataset	FullName	Acronyme	Bloc	Condition	Sub-bloc	Years
Ac-B-Tneg-1A-T11-1		Ac-B-Tneg-1A-T11-1	Ac-B-Tneg-1A-T11-1		Tneg	1A	1
Ac-B-Tneg-1A-T11-2		Ac-B-Tneg-1A-T11-2	Ac-B-Tneg-1A-T11-2		Tneg	1A	2
Ac-B-Tneg-1B-T11-1		Ac-B-Tneg-1B-T11-1	Ac-B-Tneg-1B-T11-1		Tneg	1B	1
Ac-B-Tneg-1B-T11-2		Ac-B-Tneg-1B-T11-2	Ac-B-Tneg-1B-T11-2		Tneg	1B	2
Ac-B-Tneg-2A-T11-1		Ac-B-Tneg-2A-T11-1	Ac-B-Tneg-2A-T11-1		Tneg	2A	1
Ac-B-Tneg-2A-T11-2		Ac-B-Tneg-2A-T11-2	Ac-B-Tneg-2A-T11-2		Tneg	2A	2
Ac-B-Tneg-2B-T11-1		Ac-B-Tneg-2B-T11-1	Ac-B-Tneg-2B-T11-1		Tneg	2B	1
Ac-B-Tneg-2B-T11-2		Ac-B-Tneg-2B-T11-2	Ac-B-Tneg-2B-T11-2		Tneg	2B	2
Ac-B-Tpos-1A-T11-1		Ac-B-Tpos-1A-T11-1	Ac-B-Tpos-1A-T11-1		Tpos	1A	1
Ac-B-Tpos-1A-T11-2		Ac-B-Tpos-1A-T11-2	Ac-B-Tpos-1A-T11-2		Tpos	1A	2
Ac-B-Tpos-1B-T11-1		Ac-B-Tpos-1B-T11-1	Ac-B-Tpos-1B-T11-1		Tpos	1B	1
Ac-B-Tpos-1B-T11-2		Ac-B-Tpos-1B-T11-2	Ac-B-Tpos-1B-T11-2		Tpos	1B	2
Ac-B-Tpos-2A-T11-1		Ac-B-Tpos-2A-T11-1	Ac-B-Tpos-2A-T11-1		Tpos	2A	1
Ac-B-Tpos-2A-T11-2		Ac-B-Tpos-2A-T11-2	Ac-B-Tpos-2A-T11-2		Tpos	2A	2
Ac-B-Tpos-2B-T11-1		Ac-B-Tpos-2B-T11-1	Ac-B-Tpos-2B-T11-1		Tpos	2B	1
Ac-B-Tpos-2B-T11-2		Ac-B-Tpos-2B-T11-2	Ac-B-Tpos-2B-T11-2		Tpos	2B	2
Ac-C-D1-1A-T11-1		Ac-C-D1-1A-T11-1	Ac-C-D1-1A-T11-1		D1	1A	1
Ac-C-D1-1A-T11-2		Ac-C-D1-1A-T11-2	Ac-C-D1-1A-T11-2		D1	1A	2
Ac-C-D1-1B-T11-1		Ac-C-D1-1B-T11-1	Ac-C-D1-1B-T11-1		D1	1B	1
Ac-C-D1-1B-T11-2		Ac-C-D1-1B-T11-2	Ac-C-D1-1B-T11-2		D1	1B	2
Ac-C-D1-2A-T11-1		Ac-C-D1-2A-T11-1	Ac-C-D1-2A-T11-1		D1	2A	1
Ac-C-D1-2A-T11-2		Ac-C-D1-2A-T11-2	Ac-C-D1-2A-T11-2		D1	2A	2
Ac-C-D1-2B-T11-1		Ac-C-D1-2B-T11-1	Ac-C-D1-2B-T11-1		D1	2B	1
Ac-C-D1-2B-T11-2		Ac-C-D1-2B-T11-2	Ac-C-D1-2B-T11-2		D1	2B	2
Ac-C-D2-1A-T11-1		Ac-C-D2-1A-T11-1	Ac-C-D2-1A-T11-1		D2	1A	1
Ac-C-D2-1A-T11-2		Ac-C-D2-1A-T11-2	Ac-C-D2-1A-T11-2		D2	1A	2
Ac-C-D2-1B-T11-1		Ac-C-D2-1B-T11-1	Ac-C-D2-1B-T11-1		D2	1B	1
Ac-C-D2-1B-T11-2		Ac-C-D2-1B-T11-2	Ac-C-D2-1B-T11-2		D2	1B	2
Ac-C-D2-2A-T11-1		Ac-C-D2-2A-T11-1	Ac-C-D2-2A-T11-1		D2	2A	1
Ac-C-D2-2A-T11-2		Ac-C-D2-2A-T11-2	Ac-C-D2-2A-T11-2		D2	2A	2
Ac-C-D2-2B-T11-1		Ac-C-D2-2B-T11-1	Ac-C-D2-2B-T11-1		D2	2B	1
Ac-C-D2-2B-T11-2		Ac-C-D2-2B-T11-2	Ac-C-D2-2B-T11-2		D2	2B	2
Ac-C-Tneg-1A-T11-1		Ac-C-Tneg-1A-T11-1	Ac-C-Tneg-1A-T11-1		Tneg	1A	1
Ac-C-Tneg-1A-T11-2		Ac-C-Tneg-1A-T11-2	Ac-C-Tneg-1A-T11-2		Tneg	1A	2
Ac-C-Tneg-1B-T11-1		Ac-C-Tneg-1B-T11-1	Ac-C-Tneg-1B-T11-1		Tneg	1B	1
Ac-C-Tneg-1B-T11-2		Ac-C-Tneg-1B-T11-2	Ac-C-Tneg-1B-T11-2		Tneg	1B	2
Ac-C-Tneg-2A-T11-1		Ac-C-Tneg-2A-T11-1	Ac-C-Tneg-2A-T11-1		Tneg	2A	1
Ac-C-Tneg-2A-T11-2		Ac-C-Tneg-2A-T11-2	Ac-C-Tneg-2A-T11-2		Tneg	2A	2
Ac-C-Tneg-2B-T11-1		Ac-C-Tneg-2B-T11-1	Ac-C-Tneg-2B-T11-1		Tneg	2B	1
Ac-C-Tneg-2B-T11-2		Ac-C-Tneg-2B-T11-2	Ac-C-Tneg-2B-T11-2		Tneg	2B	2
Ac-C-Tpos-1A-T11-1		Ac-C-Tpos-1A-T11-1	Ac-C-Tpos-1A-T11-1		Tpos	1A	1
Ac-C-Tpos-1A-T11-2		Ac-C-Tpos-1A-T11-2	Ac-C-Tpos-1A-T11-2		Tpos	1A	2
Ac-C-Tpos-1B-T11-1		Ac-C-Tpos-1B-T11-1	Ac-C-Tpos-1B-T11-1		Tpos	1B	1
Ac-C-Tpos-1B-T11-2		Ac-C-Tpos-1B-T11-2	Ac-C-Tpos-1B-T11-2		Tpos	1B	2
Ac-C-Tpos-2A-T11-1		Ac-C-Tpos-2A-T11-1	Ac-C-Tpos-2A-T11-1		Tpos	2A	1
Ac-C-Tpos-2A-T11-2		Ac-C-Tpos-2A-T11-2	Ac-C-Tpos-2A-T11-2		Tpos	2A	2
Ac-C-Tpos-2B-T11-1		Ac-C-Tpos-2B-T11-1	Ac-C-Tpos-2B-T11-1		Tpos	2B	1
Ac-C-Tpos-2B-T11-2		Ac-C-Tpos-2B-T11-2	Ac-C-Tpos-2B-T11-2		Tpos	2B	2
